Service ID,Name,Description,Price,Duration (min),Total Bookings,Est. Revenue,Is Active
1,Haircut,"Professional haircut and styling - includes wash, cut, and style",100.00,45,4,200,True
2,Hair Spa,Relaxing hair spa treatment with premium conditioning mask,500.00,75,1,0,True
3,Hair Color,Full hair coloring service with premium hair dye (starts at ₱700),700.00,120,1,0,True
4,Hair & Make-Up,Complete hair styling with professional make-up for events,1000.00,150,4,2000,True
5,Keratin Treatment,"Professional keratin treatment for smooth, shiny, manageable hair",1000.00,180,2,2000,True
6,Botox Hair Treatment,Advanced botox hair treatment for damaged and frizzy hair,1200.00,120,2,1200,True
7,Brazilian Hair Treatment,Brazilian smoothing treatment for frizz control and shine,1500.00,150,2,3000,True
8,Hair Rebond,"Professional hair rebonding treatment for permanent smoothness (starts at ₱1,500)",1500.00,180,4,3000,True
9,Collagen Treatment,"Collagen-infused hair treatment for strength and elasticity (starts at ₱2,000)",2000.00,120,2,2000,True
10,Manicure,Complete manicure service with nail care and polish,250.00,45,6,750,True
11,Pedicure,Complete pedicure service with foot care and polish,350.00,60,2,700,True
12,Facial Treatment,Relaxing facial treatment for skin rejuvenation and glow,600.00,75,2,1200,True
13,Body Massage,Full body relaxation massage for stress relief,800.00,90,5,4000,True
14,Waxing Service,Professional hair removal waxing service,400.00,30,3,1200,True
